Algorithm,Threshold,Precision,Recall,F1
Ample,1.0,0.2305471865783236,0.2836035909843328,0.24196027923250926
Ample,0.9,0.2305471865783236,0.2836035909843328,0.24196027923250926
Ample,0.8,0.14002592143470896,0.3117964436367822,0.18866885957960447
Ample,0.7,0.14002592143470896,0.3117964436367822,0.18866885957960447
Ample,0.6,0.08786875334851756,0.33126182056844683,0.13688071662895296
Ample,0.5,0.08786875334851756,0.33126182056844683,0.13688071662895296
Ample,0.4,0.06013757721033345,0.33126182056844683,0.09983352914582184
Ample,0.3,0.06013757721033345,0.33126182056844683,0.09983352914582184
Ample,0.2,0.04101142231113465,0.3401113780905707,0.07224813365560444
Ample,0.1,0.03953147877013177,0.3401113780905707,0.06993979088540388
Anderberg,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
Anderberg,0.9,0.27087556846070243,0.2836035909843328,0.26045053440547244
Anderberg,0.8,0.27087556846070243,0.2836035909843328,0.26045053440547244
Anderberg,0.7,0.27087556846070243,0.2836035909843328,0.26045053440547244
Anderberg,0.6,0.27087556846070243,0.2836035909843328,0.26045053440547244
Anderberg,0.5,0.27087556846070243,0.2836035909843328,0.26045053440547244
Anderberg,0.4,0.27087556846070243,0.2836035909843328,0.26045053440547244
Anderberg,0.3,0.17563510583804254,0.3117964436367822,0.21623069606576054
Anderberg,0.2,0.12993243922941952,0.31726092451109916,0.1761229944026259
Anderberg,0.1,0.09359764031274476,0.31726092451109916,0.14020544764492662
ArithmeticMean,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
ArithmeticMean,0.9,0.27087556846070243,0.2836035909843328,0.26045053440547244
ArithmeticMean,0.8,0.17563510583804254,0.3117964436367822,0.21623069606576054
ArithmeticMean,0.7,0.12993243922941952,0.31726092451109916,0.1761229944026259
ArithmeticMean,0.6,0.09359764031274476,0.31726092451109916,0.14020544764492662
ArithmeticMean,0.5,0.036123054808590405,0.3569035155519647,0.06487242618343093
ArithmeticMean,0.4,0.029905137771986712,0.36575307307408855,0.05478668946024463
ArithmeticMean,0.3,0.028280371093696067,0.36575307307408855,0.05199121258300218
ArithmeticMean,0.2,0.027854310903890723,0.36575307307408855,0.05129623457143539
ArithmeticMean,0.1,0.027725490973921473,0.36575307307408855,0.051088628804055757
Cohen,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
Cohen,0.9,0.27087556846070243,0.2836035909843328,0.26045053440547244
Cohen,0.8,0.27087556846070243,0.2836035909843328,0.26045053440547244
Cohen,0.7,0.27087556846070243,0.2836035909843328,0.26045053440547244
Cohen,0.6,0.17563510583804254,0.3117964436367822,0.21623069606576054
Cohen,0.5,0.12993243922941952,0.31726092451109916,0.1761229944026259
Cohen,0.4,0.10865074742641778,0.31726092451109916,0.1562942034513014
Cohen,0.3,0.09359764031274476,0.31726092451109916,0.14020544764492662
Cohen,0.2,0.036123054808590405,0.3569035155519647,0.06487242618343093
Cohen,0.1,0.029905137771986712,0.36575307307408855,0.05478668946024463
Dice,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
Dice,0.9,0.27087556846070243,0.2836035909843328,0.26045053440547244
Dice,0.8,0.27087556846070243,0.2836035909843328,0.26045053440547244
Dice,0.7,0.27087556846070243,0.2836035909843328,0.26045053440547244
Dice,0.6,0.27087556846070243,0.2836035909843328,0.26045053440547244
Dice,0.5,0.17563510583804254,0.3117964436367822,0.21623069606576054
Dice,0.4,0.17563510583804254,0.3117964436367822,0.21623069606576054
Dice,0.3,0.12993243922941952,0.31726092451109916,0.1761229944026259
Dice,0.2,0.09359764031274476,0.31726092451109916,0.14020544764492662
Dice,0.1,0.036123054808590405,0.3569035155519647,0.06487242618343093
Euclid,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
Euclid,0.9,0.17563510583804254,0.3117964436367822,0.21623069606576054
Euclid,0.8,0.05245709288204425,0.33050676339523016,0.08925433346898992
Euclid,0.7,0.04365615026936165,0.33050676339523016,0.07592540775216221
Euclid,0.6,0.04365615026936165,0.33050676339523016,0.07592540775216221
Euclid,0.5,0.040394247935913105,0.3401113780905707,0.07124548834008644
Euclid,0.4,0.027725490973921473,0.36575307307408855,0.051088628804055757
Euclid,0.3,0.027725490973921473,0.36575307307408855,0.051088628804055757
Euclid,0.2,0.027725490973921473,0.36575307307408855,0.051088628804055757
Euclid,0.1,0.027725490973921473,0.36575307307408855,0.051088628804055757
Fleiss,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
Fleiss,0.9,0.17563510583804254,0.3117964436367822,0.21623069606576054
Fleiss,0.8,0.17563510583804254,0.3117964436367822,0.21623069606576054
Fleiss,0.7,0.12993243922941952,0.31726092451109916,0.1761229944026259
Fleiss,0.6,0.10865074742641778,0.31726092451109916,0.1562942034513014
Fleiss,0.5,0.05042217960755257,0.33050676339523016,0.08622799774317119
Fleiss,0.4,0.0418905757502045,0.33050676339523016,0.07324601407110234
Fleiss,0.3,0.040394247935913105,0.3401113780905707,0.07124548834008644
Fleiss,0.2,0.040394247935913105,0.3401113780905707,0.07124548834008644
Fleiss,0.1,0.027725490973921473,0.36575307307408855,0.051088628804055757
GeometricMean,1.0,0.27087556846070243,0.2836035909843328,0.26045053440547244
GeometricMean,0.9,0.27087556846070243,0.2836035909843328,0.26045053440547244
GeometricMean,0.8,0.17563510583804254,0.3117964436367822,0.21623069606576054
GeometricMean,0.7,0.12993243922941952,0.31726092451109916,0.1761229944026259
GeometricMean,0.6,0.09359764031274476,0.31726092451109916,0.14020544764492662
