Algorithm,Threshold,Precision,Recall,F1
Ample,1.0,0.9244192683478318,0.018506397431468844,0.036273285953435055
Ample,0.9,0.9244192683478318,0.018506397431468844,0.036273285953435055
Ample,0.8,0.9032700559008534,0.03551871116048181,0.06806562019320356
Ample,0.7,0.9032700559008534,0.03551871116048181,0.06806562019320356
Ample,0.6,0.8937733200163924,0.057035464257600164,0.10697675860450549
Ample,0.5,0.8937733200163924,0.057035464257600164,0.10697675860450549
Ample,0.4,0.8582785064226455,0.08648703432650712,0.1571340579987847
Ample,0.3,0.8582785064226455,0.08648703432650712,0.1571340579987847
Ample,0.2,0.6795061706544262,0.12211097178515377,0.20701858178378252
Ample,0.1,0.6875721431319738,0.1298752251904697,0.2184786493458297
Anderberg,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
Anderberg,0.9,0.9340085067487814,0.016519277026376813,0.03245777725582568
Anderberg,0.8,0.9340085067487814,0.016519277026376813,0.03245777725582568
Anderberg,0.7,0.9340085067487814,0.016519277026376813,0.03245777725582568
Anderberg,0.6,0.9340085067487814,0.016519277026376813,0.03245777725582568
Anderberg,0.5,0.9340085067487814,0.016519277026376813,0.03245777725582568
Anderberg,0.4,0.9340085067487814,0.016519277026376813,0.03245777725582568
Anderberg,0.3,0.9150029685378417,0.02968563459024875,0.05732434979194049
Anderberg,0.2,0.9100972185091664,0.04035988325760407,0.07705411785269524
Anderberg,0.1,0.9005928771135873,0.056248595243302564,0.10569969567566916
ArithmeticMean,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
ArithmeticMean,0.9,0.9340085067487814,0.016519277026376813,0.03245777725582568
ArithmeticMean,0.8,0.9150029685378417,0.02968563459024875,0.05732434979194049
ArithmeticMean,0.7,0.9100972185091664,0.04035988325760407,0.07705411785269524
ArithmeticMean,0.6,0.9005928771135873,0.056248595243302564,0.10569969567566916
ArithmeticMean,0.5,0.81423152692029,0.198943971398463,0.3196590920614985
ArithmeticMean,0.4,0.7231619146496898,0.23461163320374465,0.35422487271422165
ArithmeticMean,0.3,0.7278175632052166,0.25537996840579646,0.37804498243343576
ArithmeticMean,0.2,0.7326921449777187,0.26437174654016177,0.3885240598748499
ArithmeticMean,0.1,0.7343428477826875,0.26716877256641985,0.3917813726802937
Cohen,1.0,0.9340085067487814,0.016519277026376813,0.03245777725582568
Cohen,0.9,0.9340085067487814,0.016519277026376813,0.03245777725582568
Cohen,0.8,0.9340085067487814,0.016519277026376813,0.03245777725582568
Cohen,0.7,0.9340085067487814,0.016519277026376813,0.03245777725582568
Cohen,0.6,0.9150029685378417,0.02968563459024875,0.05732434979194049
Cohen,0.5,0.9100972185091664,0.04035988325760407,0.07705411785269524
Cohen,0.4,0.9095008262910896,0.047586988043957966,0.0902727599799348
