Algorithm,Threshold,Precision,Recall,F1
Jaccard,0.4,0.7656280495637519,0.049229963847540935,0.09223370780494015
Jaccard,0.3,0.726798865253364,0.06297557633233546,0.11551605928063635
Jaccard,0.2,0.7329569662945473,0.09110126946394087,0.16155585863860064
Jaccard,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Kulczynski1,1.0,0.7656280495637519,0.049229963847540935,0.09223370780494015
Kulczynski1,0.9,0.7656280495637519,0.049229963847540935,0.09223370780494015
Kulczynski1,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
Kulczynski1,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
Kulczynski1,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
Kulczynski1,0.5,0.726798865253364,0.06297557633233546,0.11551605928063635
Kulczynski1,0.4,0.726798865253364,0.06297557633233546,0.11551605928063635
Kulczynski1,0.3,0.7254476092589223,0.07263208669638407,0.13169287512716457
Kulczynski1,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
Kulczynski1,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Kulczynski2,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Kulczynski2,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Kulczynski2,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Kulczynski2,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
Kulczynski2,0.6,0.7329569662945473,0.09110126946394087,0.16155585863860064
Kulczynski2,0.5,0.6923256825521927,0.2650738490344971,0.3832882411638616
Kulczynski2,0.4,0.6923256825521927,0.2650738490344971,0.3832882411638616
Kulczynski2,0.3,0.6923256825521927,0.2650738490344971,0.3832882411638616
Kulczynski2,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
Kulczynski2,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
M1,1.0,0.7656280495637519,0.049229963847540935,0.09223370780494015
M1,0.9,0.7656280495637519,0.049229963847540935,0.09223370780494015
M1,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
M1,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
M1,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
M1,0.5,0.7656280495637519,0.049229963847540935,0.09223370780494015
M1,0.4,0.47424983593391673,0.12748517772100346,0.20088733476550624
M1,0.3,0.47424983593391673,0.12748517772100346,0.20088733476550624
M1,0.2,0.504287435357056,0.15979782998820663,0.24261924402659954
M1,0.1,0.5348442768317095,0.18708268549890109,0.2771574451789254
M2,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
